dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,pitch_type,pitch_id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
2017-04-07,170407_004636_06,f440649e-710f-4e3c-9bbf-a20262241213,6,1,664641,493114,17,Walk,B,121,3.11,1.41,6.7272,8.93744,FF,,2,L,0,0,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,143.058,0.382775,2,sea,0.07434059306450082,-133.37523140138538,0.29961216871081475,7.201012189049732,9.402601643606452,6.7272,8.93744,1.2731566875182065,55,6.478992498248044,-3.8163736407604483,-136.78329832559925,-6.115531747593243,13.369753471374512,30.69061164855957,-14.72166724395752,93.39,0.8332655262611224,2.7263012081787497,0.890252,2.58536,2207,00
2017-04-07,170407_004703hou,2d80c03c-908b-4d9c-9738-f77c2892bbbe,6,2,664641,493114,17,Walk,S,122,3.924,1.627,6.71132,8.97033,FF,17,0.697,L,0,1,L,gid_2017_04_06_seamlb_houmlb_1/,Foul,143.224,-0.682409,2,sea,0.07549353166423393,-131.38538963332655,0.3036718082235643,7.199875710368443,9.449893181735167,6.71132,8.97033,1.1737059187596983,55,6.47619598985607,-5.592190194634707,-134.60135079441753,-7.273417338695863,13.0126215133667,28.513434219360352,-15.099832489013671,91.99,-0.02676944726818431,2.13770436864851,0.024354,1.99175,0,10
2017-04-07,170407_004655_06,2d80c03c-908b-4d9c-9738-f77c2892bbbe,6,2,664641,493114,17,Walk,S,122,3.11,1.41,6.71132,8.97033,FF,,2,L,0,1,L,gid_2017_04_06_seamlb_houmlb_1/,Foul,143.224,-0.315584,2,sea,0.07549353166423393,-131.38538963332655,0.3036718082235643,7.199875710368443,9.449893181735167,6.71132,8.97033,1.1737059187596983,55,6.47619598985607,-5.592190194634707,-134.60135079441753,-7.273417338695863,13.0126215133667,28.513434219360352,-15.099832489013671,91.99,-0.02676944726818431,2.13770436864851,0.024354,1.99175,2186,10
2017-04-07,170407_004722hou,1a2f9e77-ea2c-41a4-ae18-682bef6cd572,6,3,664641,493114,17,Walk,B,123,3.38404,1.62776,3.63168,0.382845,SL,1,0.924,L,1,1,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,96.0203,1.67367,2,sea,0.08649646912643467,-114.72924890018419,0.3470060794314114,4.331147736839586,1.1560947511360125,3.63168,0.382845,1.4150316252774293,55,6.348176458858212,-5.563542439722219,-117.36651803661277,2.63612828477014,5.994839778900147,20.403300094604493,-30.578823043823242,80.13,-0.5547754882900064,4.135660076342502,-0.527415,3.97562,0,11
2017-04-07,170407_004718_06,1a2f9e77-ea2c-41a4-ae18-682bef6cd572,6,3,664641,493114,17,Walk,B,123,3.11,1.41,3.63168,0.382845,SL,,2,L,1,1,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,96.0203,2.01838,2,sea,0.08649646912643467,-114.72924890018419,0.3470060794314114,4.331147736839586,1.1560947511360125,3.63168,0.382845,1.4150316252774293,55,6.348176458858212,-5.563542439722219,-117.36651803661277,2.63612828477014,5.994839778900147,20.403300094604493,-30.578823043823242,80.13,-0.5547754882900064,4.135660076342502,-0.527415,3.97562,625,11
2017-04-07,170407_004745hou,b9dc3b22-e2bb-47f1-bb94-a24d0b3309f6,6,4,664641,493114,17,Walk,S,124,3.924,1.627,6.43114,11.0753,FF,11,0.918,L,1,2,L,gid_2017_04_06_seamlb_houmlb_1/,Foul,149.888,-0.214142,2,sea,0.07492715977581645,-132.3428772178297,0.3018311689280523,6.916641029273292,11.520706037909804,6.43114,11.0753,1.2685212348835,55,6.459160610572269,-7.238078594779989,-135.6892362735881,-6.862225755502643,12.65364991760254,29.89772300720215,-11.102442695617675,92.76,-0.6431612695238171,2.6695450070842552,-0.595981,2.52956,0,21
2017-04-07,170407_004737_06,b9dc3b22-e2bb-47f1-bb94-a24d0b3309f6,6,4,664641,493114,17,Walk,S,124,3.11,1.41,6.43114,11.0753,FF,,2,L,1,2,L,gid_2017_04_06_seamlb_houmlb_1/,Foul,149.888,0.317127,2,sea,0.07492715977581645,-132.3428772178297,0.3018311689280523,6.916641029273292,11.520706037909804,6.43114,11.0753,1.2685212348835,55,6.459160610572269,-7.238078594779989,-135.6892362735881,-6.862225755502643,12.65364991760254,29.89772300720215,-11.102442695617675,92.76,-0.6431612695238171,2.6695450070842552,-0.595981,2.52956,2510,21
2017-04-07,170407_004812hou,d0f263bd-b646-4a93-8a06-33e19da4b100,6,5,664641,493114,17,Walk,B,125,3.45605,1.62776,6.64688,-1.48366,SL,21,0.901,L,2,2,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,77.4106,-2.13,2,sea,0.08436217947740408,-117.64122258658617,0.33829903816421764,7.267411030555223,-0.72240358500078,6.64688,-1.48366,1.441257716156166,55,6.286517531762294,-7.10649470372044,-120.31715130868125,-4.154495857977592,10.583442321777344,21.225321578979493,-33.23102755737305,82.23,-0.7176778323255526,0.7743628195581604,-0.684968,0.594777,0,22
2017-04-07,170407_004808_06,d0f263bd-b646-4a93-8a06-33e19da4b100,6,5,664641,493114,17,Walk,B,125,3.11,1.41,6.64688,-1.48366,SL,,2,L,2,2,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,77.4106,-1.95909,2,sea,0.08436217947740408,-117.64122258658617,0.33829903816421764,7.267411030555223,-0.72240358500078,6.64688,-1.48366,1.441257716156166,55,6.286517531762294,-7.10649470372044,-120.31715130868125,-4.154495857977592,10.583442321777344,21.225321578979493,-33.23102755737305,82.23,-0.7176778323255526,0.7743628195581604,-0.684968,0.594777,1197,22
2017-04-07,170407_004855hou,9aba509c-c937-40fa-a305-9936f4f67e85,6,6,664641,493114,17,Walk,B,126,3.39604,1.59173,7.4634,8.63527,FF,5,0.609,L,2,3,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,139.188,0.242957,2,sea,0.07443736133818801,-133.24308117601552,0.2995019239858457,7.927539524001505,9.104194722663063,7.4634,8.63527,0.9690170958532613,55,6.406968555851548,-8.999640585397392,-136.5240115748309,-5.51884586429588,14.729497543334961,29.50290184020996,-15.263257934570312,93.36,-1.4849085916725941,2.8530433501342682,-1.43926,2.71307,0,32
2017-04-07,170407_004851_06,9aba509c-c937-40fa-a305-9936f4f67e85,6,6,664641,493114,17,Walk,B,126,3.11,1.41,7.4634,8.63527,FF,,2,L,2,3,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,139.188,0.533028,2,sea,0.07443736133818801,-133.24308117601552,0.2995019239858457,7.927539524001505,9.104194722663063,7.4634,8.63527,0.9690170958532613,55,6.406968555851548,-8.999640585397392,-136.5240115748309,-5.51884586429588,14.729497543334961,29.50290184020996,-15.263257934570312,93.36,-1.4849085916725941,2.8530433501342682,-1.43926,2.71307,2258,32
2017-04-07,170407_004940hou,329fa185-31a4-4885-ad29-5417603b2781,5,1,664641,543807,18,Pop Out,S,131,4.00817,1.88411,6.83075,9.91062,FF,16,0.873,R,0,0,L,gid_2017_04_06_seamlb_houmlb_1/,Called Strike,145.452,-1.01745,2,sea,0.07452022310030572,-133.05919168360174,0.3002695708860433,7.305546055789823,10.365572351874475,6.83075,9.91062,1.1446081766978176,55,6.397406079995373,-6.455459940334174,-136.44279998192835,-7.981658921417647,13.504508605957032,30.39630584716797,-13.017946197509765,93.29,-0.36851397258995355,2.009663057783918,-0.318062,1.86558,0,00
2017-04-07,170407_004936_06,329fa185-31a4-4885-ad29-5417603b2781,5,1,664641,543807,18,Pop Out,S,131,3.65,1.7,6.83075,9.91062,FF,,2,R,0,0,L,gid_2017_04_06_seamlb_houmlb_1/,Called Strike,145.452,-0.830175,2,sea,0.07452022310030572,-133.05919168360174,0.3002695708860433,7.305546055789823,10.365572351874475,6.83075,9.91062,1.1446081766978176,55,6.397406079995373,-6.455459940334174,-136.44279998192835,-7.981658921417647,13.504508605957032,30.39630584716797,-13.017946197509765,93.29,-0.36851397258995355,2.009663057783918,-0.318062,1.86558,2371,00
2017-04-07,170407_005007hou,afd97add-ed64-4bfa-b386-24cac3f57be3,5,2,664641,543807,18,Pop Out,B,132,3.82818,1.89611,8.23157,9.04558,FF,0,0.541,R,1,0,L,gid_2017_04_06_seamlb_houmlb_1/,Ball,137.722,0.737353,2,sea,0.07444683836925756,-133.22604424510385,0.2995409646666297,8.685940538694654,9.509358046588055,8.23157,9.04558,0.9952117896202783,55,6.414508842792664,-9.606497225677401,-136.5067807206047,-3.6055341033609696,16.134412399291993,29.497410583496094,-14.51506324005127,93.34,-1.5896218780722975,3.7089867321203025,-1.54406,3.57445,0,01
