Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Brett Wallace,- - -,494,1440,40,143,138,2,0.083,0.300,0.151,0.325,0.238,0.316,0.389,0.31,94,-8.8,-19.8,-39,-1.4,8434
Andy Fox,- - -,403,1051,12,108,77,43,0.089,0.202,0.087,0.277,0.224,0.307,0.311,0.278,65,5.5,-42.4,-6.7,-1.4,1379
Kevin Young,Pirates,472,1669,52,198,211,28,0.081,0.204,0.166,0.279,0.243,0.313,0.409,0.315,85,-1.9,-35.1,-34.3,-1.4,1018
Jimmy Paredes,- - -,332,1012,20,104,100,19,0.048,0.284,0.118,0.336,0.251,0.286,0.369,0.286,77,3.4,-23.9,-21.8,-1.4,5481
Brennan Boesch,- - -,481,1713,48,192,195,22,0.064,0.201,0.15,0.289,0.25,0.303,0.4,0.307,89,4.4,-17.4,-52.3,-1.4,914
Alexi Amarista,- - -,606,1725,18,149,150,38,0.059,0.149,0.09,0.262,0.23,0.276,0.32,0.261,66,6.4,-61.7,-4.7,-1.4,9063
Tomas Perez,- - -,611,1491,22,159,144,4,0.058,0.176,0.113,0.283,0.242,0.289,0.355,0.276,62,3,-70.2,5.3,-1.5,965
Matt Dominguez,- - -,362,1369,42,123,152,0,0.048,0.182,0.14,0.253,0.231,0.273,0.371,0.283,77,-13.8,-48.7,-9.2,-1.5,4903
Domonic Brown,Phillies,493,1748,54,188,229,23,0.079,0.181,0.159,0.273,0.246,0.305,0.405,0.31,94,-2.1,-13.7,-53.1,-1.5,3154
Yuniesky Betancourt,- - -,1156,4278,80,437,457,30,0.033,0.102,0.127,0.273,0.261,0.285,0.388,0.292,77,-13.8,-132.3,-22.6,-1.5,8585
Alberto Gonzalez,- - -,427,1023,4,97,91,2,0.044,0.127,0.076,0.269,0.239,0.275,0.315,0.26,56,-6.7,-59.5,12.5,-1.5,4906
Dave Berg,- - -,392,1230,16,130,117,3,0.065,0.165,0.108,0.297,0.257,0.311,0.364,0.299,76,-0.8,-38.7,-18.4,-1.5,1288
J.B. Shuck,- - -,364,1090,8,123,80,22,0.063,0.101,0.076,0.273,0.251,0.299,0.328,0.278,75,2.1,-29.8,-21.8,-1.6,6677
Alex Cintron,- - -,680,2217,33,244,222,18,0.051,0.104,0.119,0.294,0.275,0.313,0.394,0.307,78,1.2,-61.9,-29.5,-1.7,50
Eric Munson,- - -,361,1186,49,97,147,4,0.088,0.197,0.18,0.225,0.214,0.289,0.394,0.296,78,-1.3,-35.2,-22.9,-1.7,481
Craig Paquette,- - -,340,1089,34,116,145,8,0.051,0.191,0.162,0.27,0.242,0.283,0.403,0.295,74,-1.9,-38.2,-15.9,-1.8,484
Daryle Ward,- - -,880,2297,82,230,349,1,0.079,0.169,0.183,0.284,0.262,0.321,0.445,0.325,92,-16.8,-40.8,-52.3,-1.8,579
Chad Moeller,- - -,501,1539,29,146,132,2,0.070,0.215,0.126,0.275,0.226,0.288,0.352,0.279,61,-9.8,-87.5,17.1,-1.8,66
Delmon Young,- - -,1118,4371,109,473,566,36,0.041,0.179,0.138,0.323,0.283,0.316,0.421,0.32,96,-19.5,-38.7,-124.8,-1.8,2140
Randall Simon,- - -,427,1448,44,142,207,0,0.044,0.083,0.141,0.276,0.277,0.312,0.418,0.314,90,-8.3,-28,-40,-1.9,497
Greg Dobbs,- - -,959,2272,46,204,274,14,0.058,0.177,0.125,0.3,0.261,0.306,0.386,0.299,81,-4.5,-54.9,-34.2,-1.9,2158
Omar Quintanilla,- - -,402,1162,8,118,74,5,0.083,0.205,0.074,0.277,0.22,0.287,0.295,0.26,52,1.9,-65.2,9.7,-1.9,6335
Ross Gload,- - -,795,1819,34,195,222,12,0.059,0.123,0.127,0.304,0.281,0.325,0.408,0.318,89,-14.5,-39.2,-41.5,-1.9,1538
Koyie Hill,- - -,341,1049,8,83,77,3,0.073,0.261,0.08,0.28,0.207,0.266,0.287,0.245,41,-2.9,-78.4,25.8,-2,1829
Wil Nieves,- - -,427,1260,10,88,114,3,0.048,0.181,0.076,0.289,0.241,0.28,0.317,0.262,56,-12,-79.5,19,-2.1,1556
Wil Cordero,- - -,474,1639,43,181,198,5,0.077,0.170,0.154,0.294,0.262,0.325,0.416,0.322,89,-3.1,-26.8,-49.2,-2.1,770
Roger Cedeno,- - -,634,2250,29,294,183,124,0.080,0.158,0.101,0.313,0.27,0.33,0.371,0.31,86,8.5,-30.6,-65.5,-2.2,869
Jason Phillips,- - -,465,1537,30,138,168,0,0.072,0.111,0.121,0.263,0.249,0.314,0.37,0.301,80,-23.6,-63.3,-10.5,-2.2,892
Gary Bennett,- - -,535,1726,21,130,167,6,0.074,0.143,0.089,0.269,0.239,0.301,0.328,0.278,61,-10.7,-97.3,16.3,-2.4,420
Ken Harvey,Royals,271,1078,27,102,126,3,0.056,0.186,0.137,0.317,0.274,0.322,0.411,0.319,86,-12.2,-31.6,-30.3,-2.4,604
Jose Castillo,- - -,592,2059,39,211,218,13,0.054,0.184,0.125,0.296,0.254,0.296,0.379,0.292,72,-9.8,-84.4,-14.1,-3,1866
Enrique Wilson,- - -,405,1057,18,99,104,7,0.057,0.112,0.11,0.242,0.229,0.273,0.34,0.269,56,-3.5,-62.5,-12.4,-3.8,858
Jordan Pacheco,- - -,377,1149,10,98,114,8,0.046,0.142,0.093,0.311,0.272,0.31,0.365,0.297,70,-5.3,-44.7,-29.1,-4.1,2677
Peter Bergeron,Expos,292,1201,8,159,55,31,0.092,0.206,0.084,0.286,0.225,0.3,0.309,0.277,57,-1.7,-69.8,-15.9,-4.5,763
Juan Castro,- - -,891,2367,34,209,211,4,0.049,0.163,0.104,0.271,0.237,0.273,0.341,0.268,55,-9.6,-144,19.9,-4.5,315
