Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Marvin Benard,Giants,389,1271,28,194,116,38,0.081,0.156,0.144,0.293,0.262,0.327,0.405,0.322,92,1.4,-12.1,9.4,3.8,1382
Gabe Kapler,- - -,967,2821,64,380,337,64,0.080,0.143,0.145,0.299,0.272,0.333,0.417,0.328,92,4.1,-22.6,-35.3,3.7,1256
Pokey Reese,- - -,520,1914,29,213,177,78,0.076,0.178,0.105,0.283,0.242,0.303,0.347,0.286,65,15.9,-71.1,44.4,3.7,1004
Willie Harris,- - -,1046,2816,39,365,212,107,0.109,0.178,0.109,0.282,0.238,0.327,0.346,0.304,81,13.7,-52.7,-2.2,3.7,236
Xavier Nady,- - -,961,3241,104,365,410,19,0.058,0.193,0.163,0.307,0.268,0.323,0.432,0.328,99,-8.9,-11.7,-55.8,3.7,1658
Mike Matheny,- - -,803,2830,45,237,298,2,0.070,0.179,0.107,0.285,0.244,0.301,0.351,0.281,65,-11.3,-138.4,81.1,3.6,1169
Andy Dirks,Tigers,297,1063,24,150,100,13,0.071,0.163,0.137,0.314,0.276,0.332,0.413,0.326,103,3.3,7.4,-8.4,3.6,6453
Casey McGehee,- - -,850,3086,67,285,380,7,0.081,0.168,0.127,0.291,0.258,0.317,0.384,0.308,91,-28.3,-60.2,-0.7,3.6,6086
Matt Diaz,- - -,736,2052,45,212,226,33,0.052,0.184,0.139,0.34,0.29,0.338,0.429,0.334,103,-12.8,-4.7,-23.7,3.6,1771
Deivi Cruz,- - -,797,2878,50,291,321,9,0.032,0.091,0.126,0.284,0.272,0.298,0.398,0.3,80,-13.3,-84.6,24.1,3.6,1025
Chris Carter,- - -,688,2645,150,314,374,12,0.116,0.331,0.245,0.271,0.218,0.314,0.463,0.336,112,-9.8,27.4,-80.3,3.5,9911
Wilmer Flores,Mets,345,1220,39,129,150,2,0.048,0.135,0.151,0.269,0.257,0.296,0.408,0.305,94,-4.2,-11.6,7.2,3.5,5827
Brad Hawpe,- - -,910,3401,124,400,492,13,0.126,0.238,0.202,0.337,0.275,0.368,0.477,0.364,112,-2.9,49.4,-123.4,3.5,1885
Chris Stewart,- - -,398,1173,9,95,83,6,0.076,0.143,0.066,0.271,0.236,0.304,0.302,0.272,69,-0.1,-43.6,38.9,3.5,3878
Justin Maxwell,- - -,441,1193,41,145,133,28,0.096,0.311,0.179,0.294,0.22,0.303,0.399,0.308,91,2.8,-9,5.3,3.5,6827
Mike Aviles,- - -,878,3137,59,375,298,78,0.043,0.130,0.116,0.285,0.262,0.295,0.378,0.295,80,8,-66.3,-3.1,3.5,5986
Travis d'Arnaud,Mets,281,1077,30,110,102,1,0.080,0.171,0.148,0.273,0.245,0.311,0.393,0.309,98,-3.3,-6.6,5.8,3.4,7739
Todd Hollandsworth,- - -,675,2060,65,270,246,38,0.078,0.202,0.182,0.319,0.274,0.331,0.455,0.337,95,3.8,-9.1,-23.9,3.4,433
